Station_Name,Parking_Score,Bike_Access_Score
"White Flint",4,4
Wheaton,4,4
Twinbrook,4,4
"Shady Grove",4,4
"Silver Spring",4,4
Kensington,4,4
"Garrett Park",4,4
"Washington Grove",4,4
Gerrmantown,4,4
Boyds,4,4
Barnesville,4,4
Dickerson,4,4
"White Flint",5,4
Wheaton,5,4
Twinbrook,5,4
"Shady Grove",5,4
"Silver Spring",5,4
Kensington,5,4
"Garrett Park",5,4
"Washington Grove",5,4
Gerrmantown,5,4
Boyds,5,4
Barnesville,5,4
Dickerson,5,4
"White Flint",5,4
Wheaton,5,4
Twinbrook,5,4
"Shady Grove",5,4
"Silver Spring",5,4
Kensington,5,4
"Garrett Park",5,4
"Washington Grove",5,4
Gerrmantown,5,4
Boyds,5,4
Barnesville,5,4
Dickerson,5,4
"White Flint",5,4
Wheaton,5,4
Twinbrook,5,4
"Shady Grove",5,4
"Silver Spring",5,4
Kensington,5,4
"Garrett Park",5,4
"Washington Grove",5,4
Gerrmantown,5,4
Boyds,5,4
Barnesville,5,4
Dickerson,5,4
"White Flint",5,5
Wheaton,5,5
Twinbrook,5,5
"Shady Grove",5,5
"Silver Spring",5,5
Kensington,5,5
"Garrett Park",5,5
"Washington Grove",5,5
Gerrmantown,5,5
Boyds,5,5
Barnesville,5,5
Dickerson,5,5
"White Flint",4,4
Wheaton,4,4
Twinbrook,4,4
"Shady Grove",4,4
"Silver Spring",4,4
Kensington,4,4
"Garrett Park",4,4
"Washington Grove",4,4
Gerrmantown,4,4
Boyds,4,4
Barnesville,4,4
Dickerson,4,4
"White Flint",4,4
Wheaton,4,4
Twinbrook,4,4
"Shady Grove",4,4
"Silver Spring",4,4
Kensington,4,4
"Garrett Park",4,4
"Washington Grove",4,4
Gerrmantown,4,4
Boyds,4,4
Barnesville,4,4
Dickerson,4,4
"White Flint",4,4
Wheaton,4,4
Twinbrook,4,4
"Shady Grove",4,4
"Silver Spring",4,4
Kensington,4,4
"Garrett Park",4,4
"Washington Grove",4,4
Gerrmantown,4,4
Boyds,4,4
Barnesville,4,4
Dickerson,4,4
"White Flint",5,4
Wheaton,5,4
Twinbrook,5,4
"Shady Grove",5,4
"Silver Spring",5,4
Kensington,5,4
"Garrett Park",5,4
"Washington Grove",5,4
Gerrmantown,5,4
Boyds,5,4
Barnesville,5,4
Dickerson,5,4
"White Flint",5,4
Wheaton,5,4
Twinbrook,5,4
"Shady Grove",5,4
"Silver Spring",5,4
Kensington,5,4
"Garrett Park",5,4
"Washington Grove",5,4
Gerrmantown,5,4
Boyds,5,4
Barnesville,5,4
Dickerson,5,4
"White Flint",5,5
Wheaton,5,5
Twinbrook,5,5
"Shady Grove",5,5
"Silver Spring",5,5
Kensington,5,5
"Garrett Park",5,5
"Washington Grove",5,5
Gerrmantown,5,5
Boyds,5,5
Barnesville,5,5
Dickerson,5,5
"White Flint",5,4
Wheaton,5,4
Twinbrook,5,4
"Shady Grove",5,4
"Silver Spring",5,4
Kensington,5,4
"Garrett Park",5,4
"Washington Grove",5,4
Gerrmantown,5,4
Boyds,5,4
Barnesville,5,4
Dickerson,5,4
"White Flint",5,4
Wheaton,5,4
Twinbrook,5,4
"Shady Grove",5,4
"Silver Spring",5,4
Kensington,5,4
"Garrett Park",5,4
"Washington Grove",5,4
Gerrmantown,5,4
Boyds,5,4
Barnesville,5,4
Dickerson,5,4
"White Flint",4,4
Wheaton,4,4
Twinbrook,4,4
"Shady Grove",4,4
"Silver Spring",4,4
Kensington,4,4
"Garrett Park",4,4
"Washington Grove",4,4
Gerrmantown,4,4
Boyds,4,4
Barnesville,4,4
Dickerson,4,4
"White Flint",4,4
Wheaton,4,4
Twinbrook,4,4
"Shady Grove",4,4
"Silver Spring",4,4
Kensington,4,4
"Garrett Park",4,4
"Washington Grove",4,4
Gerrmantown,4,4
Boyds,4,4
Barnesville,4,4
Dickerson,4,4
"White Flint",5,5
Wheaton,5,5
Twinbrook,5,5
"Shady Grove",5,5
"Silver Spring",5,5
Kensington,5,5
"Garrett Park",5,5
"Washington Grove",5,5
Gerrmantown,5,5
Boyds,5,5
Barnesville,5,5
Dickerson,5,5
"White Flint",5,4
Wheaton,5,4
Twinbrook,5,4
"Shady Grove",5,4
"Silver Spring",5,4
Kensington,5,4
"Garrett Park",5,4
"Washington Grove",5,4
Gerrmantown,5,4
Boyds,5,4
Barnesville,5,4
Dickerson,5,4
